"","indicatorName","year1960","year1961","year1962","year1963","year1964","year1965","year1966","year1967","year1968","year1969","year1970","year1971"
"25","Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Tasa de mortalidad por suicidio (por cada 100 000 habitantes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Tratamiento de la diarrea (% de niños menores de cinco años que reciben hidratación por vía oral y alimentación continua)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Alimentación mediante lactancia exclusivamente (% de niños menores de seis meses)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Riesgo de mortalidad materna durante la vida (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Número de muertes de menores de 5 años",33813,33592,33393,33230,33099,33019,33001,33029,33058,33071,32987,32727
"33","Mujeres que creen que está justificado que un marido golpee a su esposa cuando ella se niega a tener relaciones sexuales (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Gasto por alumno, nivel terciario (% del PIB per cápita)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nivel de instrucción, al menos escuela terciaria de ciclo corto finalizada, población de más de 25 años, mujeres (%) (acumulativo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Maestros capacitados en educación de nivel secundario, (% del total de maestros)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Inscripción escolar, nivel secundario, varones (% bruto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5354404449463
"38","Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Total de inscripciones, nivel primario, varones (% neto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93399
"40","Perseverancia en la escuela hasta el quinto grado, mujeres (% de la cohorte)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.180850982666
"41","Inscripción escolar, nivel primario (% bruto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2935791015625
"42","Inscripción escolar, nivel preprimario, mujeres (% bruto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52978992462158
"43","Índice de tasa de cambio real efectiva (2010 = 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Idoneidad de los programas de medidas de protección social (% del bienestar total de los hogares beneficiarios)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Factor de conversión alternativo del Departamento de Economía del Desarrollo del Banco Mundial: DEC (UMN por US$)",0.8329338431,0.9162272811,0.9995206594,0.9995206594,0.9995206594,0.99952064,0.99952064,0.99952064,0.99952064,0.99952064,0.99952064,0.99952064
"46","INB per cápita, PPA (a $ internacionales actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Ahorro interno bruto (% del PIB)",25.0108691339845,24.4684514230437,24.236002352245,24.2037656605746,23.3115548149,23.0540709098103,21.7537667643407,20.9797004511881,15.4816669721106,18.8846150755061,15.9911182007681,16.2891496240328
"48","Crecimiento del PIB (% anual)",NA,5.12441488051248,4.9191469416452,2.10636824588435,7.40724536226816,3.27508248808503,-0.339525639357717,4.62107394070436,1.90943839921289,4.66923798032512,6.87192932986009,6.29260619628323
"49","Inflación, índice de deflación del PIB (% anual)",NA,-11.3204429668097,-9.99376530753057,17.6854254328587,14.5277813325836,2.99457830022945,2.11715397114871,0.473187460475643,-0.775245444753679,15.1482025792391,-13.9363806349476,-9.47897032339398
"50","Ahorros reajustados: Agotamiento de los recursos naturales (% del INB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343145648192936,0.415296152441504
"51","Servicios, valor agregado (UMN constantes)",4223541643.84178,4409991549.66955,4536784899.53568,4689570930.13918,5073197231.10167,5211206000,5244800000,5363944000,5546983000,5808086000,6224546000,6363048000
"52","Industria, valor agregado (UMN a precios actuales)",379577957.618863,348192403.1485,329191297.679964,404070257.22227,533014185.804753,568408000,614858000,628698000,646347000,798214000,785706000,780620000
"53","Agricultura, valor agregado (US$ a precios actuales)",696475648.530811,596929975.439462,535212470.586163,623848280.758561,714443379.267079,747458301.61146,681026456.842352,725362709.868603,756111449.584473,817011642.701045,745089165.942586,695682482.354742
"54","Mercaderías exportadas hacia economías en desarrollo dentro de la región (% del total de mercaderías exportadas)",7.07395498392283,5.49222797927461,2.91095890410959,4.16024653312789,6.32228218966847,8.86565128438281,7.69395934726596,6.75564551837561,5.94292740406783,8.0884282340593,7.13266761768902,8.87115375743876
"55","Exportaciones de productos de TIC (% de las exportaciones de productos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Mercaderías importadas desde economías en desarrollo de África al sur del Sahara (% del total de mercaderías importadas)",0.099009900990099,0.301204819277108,0.211864406779661,0.15785319652723,0.0687285223367698,0.126972610194087,0.149322306455318,0.406124544860424,0.113511820886175,0.198371698970947,0.124160093485247,0.105503780552136
"57","Importaciones de materias primas para la actividad agrícola (% de mercaderías  importadas)",NA,NA,3.3587597620614,3.23244040326712,3.15439789187682,2.64292652624681,2.79425498860558,2.83671292059974,2.88640348656142,3.47956864297993,0.31397676524744,3.31842503941065
"58","Tasa consolidada, media simple, todos los productos (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Turismo internacional, gastos por artículos para el transporte de pasajeros (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Exhaustividad de registro de nacimientos, rural (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Población de 80 años en adelante, mujeres (% de la población femenina)",0.655968432536914,0.693511729734588,0.716846773169854,0.725762400514674,0.720896601875118,0.703439688216267,0.730064981316665,0.7446154467837,0.745942202010444,0.73462779755031,0.711613771013634,0.73309294547157
"62","Población de 55 a 59 años, mujeres (% de la población femenina)",2.85730255042111,2.81766158613576,2.77137191004455,2.72679822130149,2.69563415107051,2.68209074276428,2.66776937091639,2.67062871261408,2.67892132291961,2.67690305276468,2.65685465124936,2.61114723145595
"63","Población entre 15 y 64 años de edad, total",2358121,2414953,2469884,2526463,2590642,2665255,2739993,2825479,2919806,3019436,3122356,3221071
"64","Población entre 0 y 14 años de edad, mujeres",974157,1008029,1045490,1084715,1122668,1157907,1195105,1229448,1261792,1293809,1326395,1362455
"65","Tasa de mortalidad infantil, mujeres (cada 1000 nacimientos vivos)",108.1,104.9,102.1,99.4,96.8,94.5,92.4,90.5,88.8,87.2,85.5,83.6
"66","Población de refugiados por país o territorio de asilo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Personas desempleadas con educación intermedia, mujeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Empleo de tiempo parcial, hombres (% del total de hombres empleados)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Fuerza laboral con educación avanzada (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Horas de trabajo promedio de niños, solo trabajo, varones, de 7 a 14 años (horas por semana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Empleo infantil en servicios, mujeres (% para cada edad de niñas entre 7 y 14 años)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Trabajadores familiares que contribuyen, mujeres (% del empleo femenino)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Proporción de mujeres con empleo en puestos gerenciales de nivel superior e intermedio (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Empleo infantil en la agricultura (% para cada edad de niños entre 7 y 14 años)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Multidimensional poverty headcount ratio, female (% of female population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Participación en el ingreso del segundo quintilo (20%) de la población en orden decreciente de remuneraciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Current health expenditure per capita (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Incidencia de tuberculosis (por cada 100.000 personas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Prevalencia de desnutrición, altura para edad, mujeres (% de niños menores a 5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Tasa de mortalidad materna (estimado mediante modelo, por cada 100.000 nacidos vivos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Embarazadas que reciben atención médica prenatal (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Incidencia de paludismo (por cada 1000 habitantes en riesgo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Adultos (de 15 años en adelante) recientemente infectados por el VIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Tasa de mortalidad, menores de 5 años, varones (cada 1000)",185.1,179.4,174.3,169.4,165,160.9,157.2,154,151.2,148.3,145.3,141.9
"85","Number of deaths ages 15-19 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Mujeres que creen que está justificado que un marido golpee a su esposa cuando ella discute con él (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Nivel de instrucción, al menos nivel de doctorado o equivalente, población de más de 25 años, varones (%) (acumulativo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Maestros capacitados en el ciclo inferior de la educación de nivel secundario (% del total de maestros)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Relación alumno-maestro en el ciclo superior de la escuela secundaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, mujeres (%) (acumulativo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Maestros capacitados en educación de nivel primario (% del total de maestros)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Tasa neta de ingreso en primer grado (% de población oficial en edad escolar)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Nivel de instrucción, al menos escuela primaria completa, población de más de 25 años, total (%) (acumulativo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Proporción de inscripciones de mujeres con respecto a varones en la educación secundaria (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851220011711121
"96","Cobertura de los programas de seguro social en el quintil más pobre (% de la población)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Cobertura de los beneficios por desempleo y los ALMP en el quintil más pobre (% de la población)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Impuestos netos sobre productos (UMN a precios constantes)",606124564.702008,614410947.974975,682651751.399407,658036318.735594,722621364.833718,740169000,729853000.000001,783494999.999999,810504999.999999,813198000,841405000.000001,853851000.000001
"99","INB per cápita, método Atlas (US$ a precios actuales)",NA,NA,380,350,380,430,450,460,470,500,520,510
"100","PIB per cápita, PPA ($ a precios internacionales constantes de 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Rentas mineras  (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006502124337566,0.0062223675170138
"102","Ahorro neto ajustado, incluido el daño por emisión de partículas (% del INB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Gasto de consumo final de los hogares (UMN a precios actuales)",1139723559.1343,1060960177.79466,1008802546.9012,1220828670.40012,1513560278.40434,1610779000,1677717000,1825922000,1995608000,2267041000,2126266000,2070135000
"104","Índice de desempeño logístico: facilidad para localizar y hacer seguimiento a los envíos (1= baja a 5= alta)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Suscripciones a telefonía celular móvil (por cada 100 personas)",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"106","Calificación de transparencia, responsabilidad y corrupción en el sector público de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Calificación de calidad de gestión financiera y presupuestaria de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Public private partnerships investment in transport (current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Tiempo para preparar y pagar impuestos (horas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Tiempo para importar, cumplimiento fronterizo (horas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Empresas que compiten contra empresas no inscritas (% de empresas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Nuevas empresas registradas (número)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Subsidios y otras transferencias (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Recaudación impositiva (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Donaciones y otros ingresos (% de ingresos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Inflación, precios al consumidor (% anual)",1.67659912611287,3.98562050634917,2.8708853146098,5.93950905922401,4.03420453764312,3.0690706617574,5.45372692773339,3.81813815731006,4.31765612971037,6.32668144851304,5.1299874877938,8.38402539015844
"118","Relación entre reservas líquidas y activos bancarios (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Extracción anual de agua dulce para uso industrial (% del total de extracción de agua dulce)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Población rural que vive en áreas donde la elevación es inferior a 5 metros (% de la población total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Emisiones agrícolas de gas metano (miles de toneladas métricas de equivalente de CO2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4121.80003452709,3774.90064501973
"123","Emisiones de CO2 del consumo de combustible gaseoso (kilotoneladas)",0,0,0,0,0,0,0,0,33.003,33.003,33.003,33.003
"124","Producción de electricidad a partir de fuentes nucleares (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"125","Servicio de la deuda (PPG y FMI únicamente, % de exportaciones de bienes, servicios e ingresos primario)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Flujos oficiales netos de organismos de Naciones Unidas, OMS (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","PGP, otros acreedores privados (FLN, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16592000,7741000
"128","Flujos oficiales netos de organismos de Naciones Unidas, OIEA (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Deuda externa acumulada, privada sin garantía (PNG) (DOD, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49200000,52600000
"130","Flujos de ayuda bilateral neta de donantes del Comité de Asistencia para el Desarrollo (CAD), Polonia (USD a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Flujos de ayuda bilateral neta de donantes del CAD, Dinamarca (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Errores y omisiones netos (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Importaciones de bienes (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Promedio detallado de precipitaciones (mm anuales)",NA,NA,2274,NA,NA,NA,NA,2274,NA,NA,NA,NA
"136","Consumo de fertilizantes (kilogramos por hectárea de tierras cultivables)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Índice de desempeño logístico: competitividad y calidad de los servicios logísticos (1= baja a 5= alta)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Índice de conectividad de carga marítima (valor máximo en 2004= 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Promedio grupal de políticas de inclusión/equidad social de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Calificación de las políticas de deuda de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Inversiones en agua y servicios sanitarios con participación privada (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Procedimientos iniciales para registrar una empresa (número)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Tiempo de gestión con funcionarios (% del tiempo de gestión)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Empresas que usan bancos para financiar el capital de trabajo (% de empresas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Índice del grado de divulgación de información de las empresas (0=menos divulgación a 10=más divulgación)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Otro gasto (% de gasto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Impuestos al comercio internacional (% de la recaudación)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Capacidad de financiamiento neto (+)/necesidad de financiamiento neto (-) (UMN actual)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Relación entre masa monetaria y reservas totales",4.39184579299724,3.83575215983882,3.51073375337314,3.06800155648627,3.5221089242123,4.0433712757435,3.67326224256068,3.75223719035039,5.18905489583962,5.6317585262516,4.29444715209751,6.24091309556755
"151","Prestatarios de bancos comerciales (por cada 1.000 adultos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Productividad del agua, total (PIB en US$ constantes del año 2010 por metro cúbico de extracción total de agua dulce)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Especies de plantas (superiores), en peligro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13651.5739,12552.5025
"156","Consumo de energía eléctrica (kWh per cápita)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.539712245923
"157","Producción de electricidad a partir de fuentes hidroeléctricas (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9047619047619
"158","Total del servicio de la deuda (% de exportaciones de bienes, servicios e ingreso)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Flujos oficiales netos procedentes de organismos de las Naciones Unidas, Programa Regular de Asistencia Técnica: UNTA (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,270000.010728836,230000.004172325,200000.002980232
"160","Préstamos de bancos comerciales y otros ( Deuda externa pública y con garantía pública: PPG + deuda externa privada sin garantía del estado: PNG) (Flujos netos de deuda:NFL, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12230000,10627000
"161","Inversiones de cartera, bonos (PPG +PNG) (NFL, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-192000,-204000
"162","Deuda externa acumulada (% del INB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1927781675608,15.9044993722182
"163","Flujos de ayuda bilateral neta de donantes del CAD, Países Bajos (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000.000596046,19999.9995529652
"164","Flujos de ayuda bilateral neta de donantes del Comité de Ayuda al Desarrollo (CAD), Suiza (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,9999.99977648258,79999.9982118607,680000.007152557,280000.001192093
"165","Recibos de ingresos secundarios (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Donaciones, excluidas las destinadas a cooperación técnica (balanza de pagos, US$ corrientes)",680000,970000,1430000,1710000,2090000,2230000,8920000,9220000,6430000,9080000,8290000,9710000
"167","Inversión extranjera directa, salida neta de capital (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Índice de producción de alimentos (2004-2006 = 100)",NA,32.7,33.2,33.51,39.86,41.53,38.47,37.26,39.95,39.89,39.77,38.72
"169","Tierras destinadas al cultivo de manera permanente (% del área de tierra)",NA,2.90781678948129,2.90781678948129,2.925877763329,2.925877763329,2.94393873717671,2.94393873717671,2.96199971102442,2.96199971102442,2.98006068487213,2.99812165871984,3.01618263256755
"170","Flujos de ayuda bilateral neta de donantes del Comité de Ayuda al Desarrollo (CAD), Australia (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Servicios de transporte (% de las exportaciones de servicios, balanza de pagos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Inversiones de cartera, neta (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Cargos por el uso de propiedad intelectual, pagos (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Área de tierra rural (kilómetros cuadrados)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
